offerId,优化前,第二轮前,当前,状态,原因,名称
jz-ra4xyb-4315952972,38,71,65,ACTUAL,MAIN|ADDITIONAL|TITLE_LENGTH|FIRST_VIDEO_SIZE|FIRST_VIDEO_LENGTH|AVERAGE_VIDEO_SIZE|VIDEO_COUNT,Баскетбольное кольцо с сеткой 38 см  красное  для улицы и зала
jz-wfvstx-4301508006,38,67,68,ACTUAL,MAIN|ADDITIONAL|FILTERABLE|TITLE_LENGTH|FIRST_VIDEO_SIZE|FIRST_VIDEO_LENGTH|AVERAGE_VIDEO_SIZE|VIDEO_COUNT,Мешок-пылесборник для робота-пылесоса Midea V15  2 шт
jz-wfvstx-4301587457,38,77,78,ACTUAL,MAIN|ADDITIONAL|FILTERABLE|FIRST_VIDEO_SIZE|FIRST_VIDEO_LENGTH|AVERAGE_VIDEO_SIZE|VIDEO_COUNT,Мешки-пылесборники для робота-пылесоса Midea VCR V15 Pro  20 шт.
jz-wfvstx-4301699757,38,77,78,ACTUAL,MAIN|ADDITIONAL|FILTERABLE|FIRST_VIDEO_SIZE|FIRST_VIDEO_LENGTH|AVERAGE_VIDEO_SIZE|VIDEO_COUNT,Мешок-пылесборник для робота-пылесоса Midea VCR V15 Pro  сменный  10 шт
YCXP-l342yy-3119072834,38,38,38,UPDATING,MAIN|ADDITIONAL|FILTERABLE|FIRST_PICTURE_SIZE|TITLE_LENGTH|DESCRIPTION_LENGTH|FIRST_VIDEO_SIZE|FIRST_VIDEO_LENGTH|AVERAGE_VIDEO_SIZE|VIDEO_COUNT,Нарукавники садовые защитные 40 см  2 шт
GYS-fq6f2z-3057483785,39,39,45,ACTUAL,MAIN|ADDITIONAL|FILTERABLE|TITLE_LENGTH|DESCRIPTION_LENGTH|FIRST_VIDEO_SIZE|FIRST_VIDEO_LENGTH|AVERAGE_VIDEO_SIZE|VIDEO_COUNT,
GYS-fq6f2z-3057497027,39,39,39,UPDATING,MAIN|ADDITIONAL|FILTERABLE|FIRST_PICTURE_SIZE|TITLE_LENGTH|DESCRIPTION_LENGTH|AVERAGE_PICTURE_SIZE|FIRST_VIDEO_SIZE|FIRST_VIDEO_LENGTH|AVERAGE_VIDEO_SIZE|VIDEO_COUNT,Заводная игрушка D19FFE2F4D06486AAAE4403FBA32B66F белая  7 см
GYS-fq6f2z-3057497549,39,39,39,UPDATING,MAIN|ADDITIONAL|FILTERABLE|FIRST_PICTURE_SIZE|TITLE_LENGTH|DESCRIPTION_LENGTH|AVERAGE_PICTURE_SIZE|FIRST_VIDEO_SIZE|FIRST_VIDEO_LENGTH|AVERAGE_VIDEO_SIZE|VIDEO_COUNT,Заводная металлическая игрушка «Черепаха» коричнево-красная  7 см
GYS-fq6f2z-4615620705,39,39,39,UPDATING,MAIN|ADDITIONAL|FILTERABLE|FIRST_PICTURE_SIZE|TITLE_LENGTH|DESCRIPTION_LENGTH|FIRST_VIDEO_SIZE|FIRST_VIDEO_LENGTH|AVERAGE_VIDEO_SIZE|VIDEO_COUNT,Скричер Eagle с трансформацией  без диска  голубой
GYS2608211hfp-5427175729,39,65,65,ACTUAL,MAIN|ADDITIONAL|TITLE_LENGTH|FIRST_VIDEO_SIZE|FIRST_VIDEO_LENGTH|AVERAGE_VIDEO_SIZE|VIDEO_COUNT,Волчок Infinity Nado Стандарт Флейм Крашер  красный
jz-63ha0a-3582585986,39,39,39,UPDATING,MAIN|ADDITIONAL|FILTERABLE|PICTURE_COUNT|TITLE_LENGTH|DESCRIPTION_LENGTH|FIRST_VIDEO_SIZE|FIRST_VIDEO_LENGTH|AVERAGE_VIDEO_SIZE|VIDEO_COUNT,Набор игрушечной брони «Тёмный конь» 16 предметов  чёрный
jz-93mo1m-4998741619,39,59,59,ACTUAL,MAIN|ADDITIONAL|FILTERABLE|TITLE_LENGTH|FIRST_VIDEO_SIZE|FIRST_VIDEO_LENGTH|AVERAGE_VIDEO_SIZE|VIDEO_COUNT,Набор для игры в корнхол 90x60 см  4 мешочка  разноцветный
jz-93mo1m-4999648072,39,76,76,ACTUAL,MAIN|ADDITIONAL|FILTERABLE|FIRST_VIDEO_SIZE|FIRST_VIDEO_LENGTH|AVERAGE_VIDEO_SIZE|VIDEO_COUNT,Набор для игры в корнхол  2 доски 120 см и 8 мешочков  бежевый
jz-wfvstx-5201012522,39,63,70,ACTUAL,MAIN|ADDITIONAL|FILTERABLE|TITLE_LENGTH|FIRST_VIDEO_SIZE|FIRST_VIDEO_LENGTH|AVERAGE_VIDEO_SIZE|VIDEO_COUNT,Мешки для робота-пылесоса Dreame X50 Master  набор 16 шт.
jz-wfvstx-5224600752,39,78,78,ACTUAL,MAIN|ADDITIONAL|FILTERABLE|FIRST_VIDEO_SIZE|FIRST_VIDEO_LENGTH|AVERAGE_VIDEO_SIZE|VIDEO_COUNT,Комплект запасных частей для робота-пылесоса Dreame L40 Ultra  18 шт.
jz-ydp9z9-2266770360,39,69,69,ACTUAL,ADDITIONAL|FILTERABLE|TITLE_LENGTH|FIRST_VIDEO_SIZE|FIRST_VIDEO_LENGTH|AVERAGE_VIDEO_SIZE|VIDEO_COUNT,Игральные карты картонные 54 листа  цвет черный  для взрослых и детей
LZ-00mkoz-3585904163,39,39,39,UPDATING,MAIN|ADDITIONAL|FIRST_PICTURE_SIZE|TITLE_LENGTH|DESCRIPTION_LENGTH|FIRST_VIDEO_SIZE|FIRST_VIDEO_LENGTH|AVERAGE_VIDEO_SIZE|VIDEO_COUNT,Маска для лица thisFactory SKU04740 тканевая косметическая
MzQwMzc-3VPSSIJ3,39,71,72,ACTUAL,MAIN|ADDITIONAL|FILTERABLE|FIRST_VIDEO_SIZE|FIRST_VIDEO_LENGTH|AVERAGE_VIDEO_SIZE|VIDEO_COUNT,Запасная часть для пылесоса Dyson V6  V7  V8  V10  V11  пластик
GYS-fq6f2z-4616737293,40,40,40,UPDATING,MAIN|ADDITIONAL|FILTERABLE|FIRST_PICTURE_SIZE|TITLE_LENGTH|DESCRIPTION_LENGTH|FIRST_VIDEO_SIZE|FIRST_VIDEO_LENGTH|AVERAGE_VIDEO_SIZE|VIDEO_COUNT,Трансформер Скричер Ревадактиль л1  синий
jz-74no4j-3399738004,40,72,70,ACTUAL,MAIN|ADDITIONAL|FILTERABLE|TITLE_LENGTH|FIRST_VIDEO_SIZE|FIRST_VIDEO_LENGTH|AVERAGE_VIDEO_SIZE|VIDEO_COUNT,Таз из нержавеющей стали 15.5 л с мерной шкалой  серебристый
jz-74no4j-4284339946,40,67,78,ACTUAL,MAIN|ADDITIONAL|FILTERABLE|FIRST_VIDEO_SIZE|FIRST_VIDEO_LENGTH|AVERAGE_VIDEO_SIZE|VIDEO_COUNT,Зеркало заднего вида для вилочного погрузчика  универсальное  25.5 см
jz-bmwrkz-4900040541,40,76,76,ACTUAL,MAIN|ADDITIONAL|TITLE_LENGTH|FIRST_VIDEO_SIZE|FIRST_VIDEO_LENGTH|AVERAGE_VIDEO_SIZE|VIDEO_COUNT,Набор для игры в корнхол 90×60 см  8 мешочков
jz-wfvstx-4939003588,40,69,72,ACTUAL,MAIN|ADDITIONAL|FILTERABLE|TITLE_LENGTH|FIRST_VIDEO_SIZE|FIRST_VIDEO_LENGTH|AVERAGE_VIDEO_SIZE|VIDEO_COUNT,Мешок-пылесборник для робота-пылесоса Deerma X80  10 шт
LZ01-3699596285,40,75,78,ACTUAL,MAIN|ADDITIONAL|FILTERABLE|FIRST_VIDEO_SIZE|FIRST_VIDEO_LENGTH|AVERAGE_VIDEO_SIZE|VIDEO_COUNT,Стойка «Паук» для баннера 80х180 см  напольная  пластик  черная  3 шт
3006371732-OPvT,41,66,74,ACTUAL,MAIN|ADDITIONAL|FILTERABLE|PICTURE_COUNT,Приспособление для вдевания бегунка в молнию на струбцине с креплением к столу  3 сменные пластины
GYS-1574237539,41,45,67,ACTUAL,MAIN|ADDITIONAL|FILTERABLE|PICTURE_COUNT|TITLE_LENGTH|FIRST_VIDEO_SIZE|FIRST_VIDEO_LENGTH|AVERAGE_VIDEO_SIZE|VIDEO_COUNT,EKOLN Держатель для зубных щёток бежевый 11x9 см  IKEA
GYS-fq6f2z-1679789419,41,41,41,UPDATING,MAIN|ADDITIONAL|FILTERABLE|TITLE_LENGTH|DESCRIPTION_LENGTH|FIRST_VIDEO_SIZE|FIRST_VIDEO_LENGTH|AVERAGE_VIDEO_SIZE|VIDEO_COUNT,Дикие Скричеры игровой набор Кибер Рэпидфлип Мобилус S5 желтый 7 см
GYS-fq6f2z-1973054001,41,41,41,UPDATING,MAIN|ADDITIONAL|FILTERABLE|TITLE_LENGTH|DESCRIPTION_LENGTH|FIRST_VIDEO_SIZE|FIRST_VIDEO_LENGTH|AVERAGE_VIDEO_SIZE|VIDEO_COUNT,Робот-трансформер EW-BL2 с управлением со смартфона  белый  ABS пластик
GYS-fq6f2z-4276370160,41,63,64,ACTUAL,MAIN|ADDITIONAL|FILTERABLE|TITLE_LENGTH|FIRST_VIDEO_SIZE|FIRST_VIDEO_LENGTH|AVERAGE_VIDEO_SIZE|VIDEO_COUNT,Арена для волчков Бейблэйд Бест с куполом для 4 волчков
GYS-pun1uz-3960169151,41,78,72,ACTUAL,ADDITIONAL|FILTERABLE|TITLE_LENGTH|FIRST_VIDEO_SIZE|FIRST_VIDEO_LENGTH|AVERAGE_VIDEO_SIZE|VIDEO_COUNT,Масленка Elan Gallery «Сирень» фарфоровая с крышкой  лиловый
GYS-pun1uz-4291750077,41,72,78,ACTUAL,MAIN|ADDITIONAL|FIRST_VIDEO_SIZE|FIRST_VIDEO_LENGTH|AVERAGE_VIDEO_SIZE|VIDEO_COUNT,Замок навесной Mijia с биометрическим сканером отпечатков пальцев  IP54  серебристый
GYS260905hopl-147834448,41,72,72,ACTUAL,MAIN|ADDITIONAL|FILTERABLE|FIRST_VIDEO_SIZE|FIRST_VIDEO_LENGTH|AVERAGE_VIDEO_SIZE|VIDEO_COUNT,Арена для баттлов Инфинити Надо JZ-MTO9HOPC  пластик  черный
GYS260905hopl-3457277279,41,75,75,ACTUAL,MAIN|ADDITIONAL|FIRST_VIDEO_SIZE|FIRST_VIDEO_LENGTH|AVERAGE_VIDEO_SIZE|VIDEO_COUNT,Волчок-бластер Infinity Nado Трайб Адвансд  металл  светло-серый
GYS260905hopl-3457312229,41,75,75,ACTUAL,MAIN|ADDITIONAL|FIRST_VIDEO_SIZE|FIRST_VIDEO_LENGTH|AVERAGE_VIDEO_SIZE|VIDEO_COUNT,Волчок Infinity Nado с луком запуска Tribe Advanced  Fiery Blast Wheel  золотой
GYS260905hopl-3457369788,41,75,75,ACTUAL,MAIN|ADDITIONAL|FIRST_VIDEO_SIZE|FIRST_VIDEO_LENGTH|AVERAGE_VIDEO_SIZE|VIDEO_COUNT,Волчок Infinity Nado Меч Трайб Адвансд Royal Flying Dragon JZ-MTO9HOPC золотой
jz-260713l1mj-1121586055,41,74,78,ACTUAL,ADDITIONAL|TITLE_LENGTH|FIRST_VIDEO_SIZE|FIRST_VIDEO_LENGTH|AVERAGE_VIDEO_SIZE|VIDEO_COUNT,Силиконовая форма для льда STAR WARS R2D2  5 ячеек  голубая
jz-260728cs42-4799290710,41,75,75,ACTUAL,MAIN|ADDITIONAL|FIRST_VIDEO_SIZE|FIRST_VIDEO_LENGTH|AVERAGE_VIDEO_SIZE|VIDEO_COUNT,Волчок Infinity Nado Трайб Классик Royal Flying Dragon  бирюзовый
jz-mn9jc2-3372213365,41,75,75,ACTUAL,MAIN|ADDITIONAL|FIRST_VIDEO_SIZE|FIRST_VIDEO_LENGTH|AVERAGE_VIDEO_SIZE|VIDEO_COUNT,Волчок-бластер Инфинити Надо Трайб Стандарт с пускателем  белый
jz-mn9jc2-3457312229,41,64,64,ACTUAL,MAIN|ADDITIONAL|FILTERABLE|TITLE_LENGTH|FIRST_VIDEO_SIZE|FIRST_VIDEO_LENGTH|AVERAGE_VIDEO_SIZE|VIDEO_COUNT,Волчок Инфинити Надо Трайб Адвансд с луком  золотой
jz-mn9jc2-3457369788,41,75,75,ACTUAL,MAIN|ADDITIONAL|FIRST_VIDEO_SIZE|FIRST_VIDEO_LENGTH|AVERAGE_VIDEO_SIZE|VIDEO_COUNT,Волчок Infinity Nado Трайб Адвансд Royal Flying Dragon золотой
jz-mn9jc2-4456201523,41,57,57,ACTUAL,MAIN|ADDITIONAL|FILTERABLE|TITLE_LENGTH|FIRST_VIDEO_SIZE|FIRST_VIDEO_LENGTH|AVERAGE_VIDEO_SIZE|VIDEO_COUNT,Детский игровой тир с бластером и вращающимися мишенями
jz-r0nm0c-4780054501,41,64,64,ACTUAL,MAIN|ADDITIONAL|FILTERABLE|TITLE_LENGTH|FIRST_VIDEO_SIZE|FIRST_VIDEO_LENGTH|AVERAGE_VIDEO_SIZE|VIDEO_COUNT,Лампа от насекомых PAPECOM  1 шт  зелёная
jz-tar3ab-4450020083,41,75,75,ACTUAL,MAIN|ADDITIONAL|TITLE_LENGTH|FIRST_VIDEO_SIZE|FIRST_VIDEO_LENGTH|AVERAGE_VIDEO_SIZE|VIDEO_COUNT,Поильник детский с трубочкой и защитой от проливания 210 г
jz-wfvstx-4649277975,41,74,77,ACTUAL,MAIN|ADDITIONAL|FILTERABLE|FIRST_VIDEO_SIZE|FIRST_VIDEO_LENGTH|AVERAGE_VIDEO_SIZE|VIDEO_COUNT,Мешки-пылесборники для робота-пылесоса Midea VCR S6 Plus  6 шт
jz-wfvstx-4686476223,41,65,70,ACTUAL,MAIN|ADDITIONAL|FILTERABLE|TITLE_LENGTH|FIRST_VIDEO_SIZE|FIRST_VIDEO_LENGTH|AVERAGE_VIDEO_SIZE|VIDEO_COUNT,Пылесборники для робота-пылесоса Dreame F21 Plus  16 шт.
jz-wfvstx-4737624802,41,47,52,ACTUAL,MAIN|ADDITIONAL|FILTERABLE|TITLE_LENGTH|DESCRIPTION_LENGTH|FIRST_VIDEO_SIZE|FIRST_VIDEO_LENGTH|AVERAGE_VIDEO_SIZE|VIDEO_COUNT,Мешки для робота-пылесоса Dreame L60 Pro Ultra  16 шт.
LZ-5wxmmp-5077951478,41,64,72,ACTUAL,MAIN|ADDITIONAL|TITLE_LENGTH|FIRST_VIDEO_SIZE|FIRST_VIDEO_LENGTH|AVERAGE_VIDEO_SIZE|VIDEO_COUNT,Пенал-футляр оксфорд с принтом узоры  малиновый  с молнией
SF2608248fhz-4231125310,41,61,76,ACTUAL,MAIN|ADDITIONAL|FILTERABLE|TITLE_LENGTH|FIRST_VIDEO_LENGTH,Мягкая игрушка в виде таксы  40 см  коричневая
